,date,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,rain,weather_code,cloud_cover,wind_speed_10m,wind_direction_10m,sunshine_duration
114,2019-01-14 23:00:00+00:00,23.707,96.1533,28.604652,0.1,0.1,51.0,36.300003,4.3498964,245.55606,0.0
115,2019-01-15 02:00:00+00:00,27.907,77.72932,32.158524,0.0,0.0,3.0,91.8,11.212135,275.52744,10197.242
116,2019-01-15 05:00:00+00:00,28.157,79.65533,32.76605,2.8,2.8,53.0,58.199997,11.525623,268.2101,10800.0
117,2019-01-15 08:00:00+00:00,27.257,81.47365,31.276455,2.3,2.3,53.0,81.9,13.441071,249.62347,10800.0
118,2019-01-15 11:00:00+00:00,26.407,84.37064,30.350193,0.0,0.0,1.0,42.600002,12.9249525,257.125,4458.944
119,2019-01-15 14:00:00+00:00,26.557001,78.47978,29.954193,0.0,0.0,1.0,38.7,12.413476,253.14151,0.0
120,2019-01-15 17:00:00+00:00,26.057001,83.57174,29.028946,0.0,0.0,1.0,46.800003,17.533146,250.82089,0.0
121,2019-01-15 20:00:00+00:00,24.957,87.6081,28.315605,0.1,0.1,51.0,43.5,13.684735,268.49258,0.0
122,2019-01-15 23:00:00+00:00,24.757,90.01302,28.20792,0.3,0.3,51.0,37.5,14.05845,267.0644,0.0
123,2019-01-16 02:00:00+00:00,28.157,76.14457,31.56733,0.0,0.0,2.0,76.8,16.56,270.0,10171.674
124,2019-01-16 05:00:00+00:00,28.607,74.178055,32.288876,1.9000001,1.9000001,53.0,97.2,16.375053,303.34073,10800.0
125,2019-01-16 08:00:00+00:00,28.557001,71.7457,32.25826,1.8,1.8,53.0,81.6,12.10157,292.751,4544.4937
126,2019-01-16 11:00:00+00:00,27.107,80.236626,31.150196,0.0,0.0,1.0,49.800003,11.609651,299.74478,0.0
127,2019-01-16 14:00:00+00:00,24.257,91.90841,28.514397,3.4999998,3.4999998,55.0,56.700005,7.928177,320.52756,0.0
128,2019-01-16 17:00:00+00:00,24.057001,92.736534,28.54449,0.2,0.2,51.0,46.5,6.151683,290.55612,0.0
129,2019-01-16 20:00:00+00:00,24.007,95.582855,29.182201,0.8,0.8,51.0,55.5,3.2599385,263.6599,0.0
130,2019-01-16 23:00:00+00:00,23.907,93.57603,28.240486,0.1,0.1,51.0,48.600002,7.208994,267.13766,0.0
131,2019-01-17 02:00:00+00:00,28.107,79.17232,32.14432,0.0,0.0,2.0,62.700005,14.799459,265.81516,10146.9375
132,2019-01-17 05:00:00+00:00,27.707,82.5122,32.18433,2.1,2.1,53.0,58.5,14.003029,252.03076,10800.0
133,2019-01-17 08:00:00+00:00,27.857,76.79044,31.23426,1.1,1.1,51.0,63.9,16.167967,258.4399,6544.152
134,2019-01-17 11:00:00+00:00,26.307001,85.64038,30.310635,1.6,1.6,53.0,36.0,13.138765,260.53775,0.0
135,2019-01-17 14:00:00+00:00,25.957,83.307915,29.632809,0.1,0.1,51.0,30.600002,12.10157,247.249,0.0
136,2019-01-17 17:00:00+00:00,25.207,87.62978,28.81023,0.0,0.0,1.0,35.4,13.009903,255.5792,0.0
137,2019-01-17 20:00:00+00:00,24.957,89.21443,28.602505,0.0,0.0,1.0,34.2,12.9249525,257.125,0.0
